seed,method_id,method,episodes,collision_count,out_of_road_count,goal_count,max_step_count,total_steps,collision_rmst_steps,collision_rate,collisions_per_1000_steps,combined_safety_failure_rate,goal_rate,max_step_completion_rate,mean_episode_steps,source_file,source_sha256,source_status
45,noisy,NoisyNet DQN,300,106,209,0,0,18799,105.06642972735759,0.35333333333333333,5.6385977977551995,1.0,0.0,0.0,62.663333333333334,04_data/raw/baselines/seed_45/noisy/all_episode_results.csv,9d01ef0fa3105d896ddd956c4ee371e41347276d8c21c092522a17e868d98243,original_23_seed_archive
45,rnd,DQN + RND,300,156,167,1,0,23316,91.78455181685773,0.52,6.690684508492023,0.9966666666666667,0.0033333333333333335,0.0,77.72,04_data/raw/baselines/seed_45/rnd/all_episode_results.csv,b7c16dcfd9789a9bf148674c34e1b97c273cd94381c8929130b41c54bc441001,original_23_seed_archive
45,safetypool,SafetyPool,300,24,300,0,0,5349,295.52813203300826,0.08,4.48681996634885,1.0,0.0,0.0,17.83,04_data/raw/safetypool/seed_45/all_episode_results.csv,a962ead43b71eb1d9d4c42a768c7a2103680e148f8197422f68011d42498a252,original_23_seed_archive
48,epsilon,Epsilon-Greedy,300,154,171,1,0,23112,108.93577190467924,0.5133333333333333,6.663205261336103,1.0,0.0033333333333333335,0.0,77.04,04_data/raw/baselines/seed_48/epsilon/all_episode_results.csv,4699105b489c8c6ce0dc17d03e5bcde3270c9a8ed22272b1d4b3eb5d22c0b53d,original_23_seed_archive
48,noisy,NoisyNet DQN,300,160,164,1,0,23239,90.54034415044192,0.5333333333333333,6.884977838977581,0.9966666666666667,0.0033333333333333335,0.0,77.46333333333334,04_data/raw/baselines/seed_48/noisy/all_episode_results.csv,cf30ba33a360cb7d6d737698c9050dc659b61c9200db3f441f737e9866974567,original_23_seed_archive
48,rnd,DQN + RND,300,149,177,1,0,23118,92.53276892400696,0.49666666666666665,6.445194220953369,0.9966666666666667,0.0033333333333333335,0.0,77.06,04_data/raw/baselines/seed_48/rnd/all_episode_results.csv,874180ac80aaefa8e1587cb4c235e54bc12f22c27d74cf31030dcae43af84839,original_23_seed_archive
48,safetypool,SafetyPool,300,9,300,0,0,18134,476.1688095407571,0.03,0.49630528289401127,1.0,0.0,0.0,60.446666666666665,04_data/raw/safetypool/seed_48/all_episode_results.csv,e782d4c83d5fcd2dfee2e2f3152144065e18d289f3efb0fb639237c9004feea2,original_23_seed_archive
54,epsilon,Epsilon-Greedy,300,146,178,1,0,23175,92.58639235915474,0.4866666666666667,6.299892125134844,0.9966666666666667,0.0033333333333333335,0.0,77.25,04_data/raw/baselines/seed_54/epsilon/all_episode_results.csv,44d5143f2694d954426270dfa29d5710127f015f5a508b0080384eef9c352e87,original_23_seed_archive
54,noisy,NoisyNet DQN,300,15,287,0,0,7233,73.62468187274911,0.05,2.073828287017835,1.0,0.0,0.0,24.11,04_data/raw/baselines/seed_54/noisy/all_episode_results.csv,0c54abc3906e0ba4bb44805a95b831fd3de43e1a9f012f39e55298aaef01d402,original_23_seed_archive
54,rnd,DQN + RND,300,156,167,1,0,23245,91.74553264146893,0.52,6.7111206711120674,0.9966666666666667,0.0033333333333333335,0.0,77.48333333333333,04_data/raw/baselines/seed_54/rnd/all_episode_results.csv,6890924ec78b0dee144e6192a4bf1e98b0e63f931941dddbf32b058c25eeaaca,original_23_seed_archive
54,safetypool,SafetyPool,300,154,165,0,0,23031,90.07689550445701,0.5133333333333333,6.686639746428726,1.0,0.0,0.0,76.77,04_data/raw/safetypool/seed_54/all_episode_results.csv,099185d64ad679e986cca9be13ab332435521867b14d38854e3cb14758a22c1f,original_23_seed_archive
