environment,seed,method_id,method,episode,scenario_seed,initial_observation_sha256,collision_event_observed,event_or_censor_time_steps,rmst_horizon_steps,network_frozen,updates_during_test
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,61,100061,ff15a0f39462f191cfda0fae18ad8987146b5b457b3d99085210c5bbb74a9ce1,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,62,100062,1e9de428203da2c02a08bf1f4bc10890d4a85765308fb72e3c15c42dc251ea87,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,63,100063,60304033350eccdbd569501a88f0312d6b3367a177c2d44784a058f8190dda1a,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,64,100064,5ed8df58867d6568a2ffa870e049dcfaf37f5cc7d3b87869b116e4ad8e620091,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,65,100065,f7151110dd63b0eab7baec9da1396526e96a5544665e83587db93d1978b9f8e0,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,66,100066,ec2467dfbb02b489b55c6cc29f9e01c61835f5c1c2509fa8afc0169b80e9931a,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,67,100067,d42623967ba982adea1537a81a052dc081703afc5e8f050a1aaeaea1c7ea1f34,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,68,100068,d1cf9323a39817eec993f68c65153d4e29bf1b9f7d4d0bd3ae312f8f79ec31d7,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,69,100069,0d691f53b883a560f85f7c36228a025bfb94d47833bd2dbf5a150f5e32f930be,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,70,100070,4fae9347f680b2b15494749cb4f61a7f822e3793874e81f685d8a5c1cd415960,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,71,100071,ed49030377669f3e8de82798c1fd5cc44545999a65b6b2a737e9c22f97602754,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,72,100072,869d18b64df749cc0cb3d0163079265d83ec730f53c27e7f8173f850edffec34,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,73,100073,48f45b4124d20f682a20d4cf3232c986a830b23a6f570c09f7af48e2bfee1856,True,20,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,74,100074,79b68fbb25e7225377d18414c529a3112300efdede175661799d8456881017cb,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,75,100075,95df473c1a5bcb7cc050f37b8e97ead150847fc19f34aea34d80db1632406621,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,76,100076,65526b5ca3b6b0a8f46caf90cffd02ad4d80882c60bd473f855b69638dd991ba,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,77,100077,92020e9183e51a03d50f828af2885fbfc4c6154e694feff25f9a573b9f1e6fd2,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,78,100078,057d09f43326ce8d382b2ace52d015371e03cd6357268e2ad7a2a48b8524316f,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,79,100079,de4b47879bc46eada6040aa7be9591e71d3cf0a740743503626d8f59c31503e9,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,80,100080,045c7ff4bedc9000ad489152f77ab0b8a8c64d59b94b4226e5cdbbe931265115,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,81,100081,72dda409c174a89665e6c7e858196eeec247f3a49f7b22025eaeee481871aca9,True,8,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,82,100082,a8bba3b6d45dd5c01539e321ffda87b6b172be67dcb8eacd85b20254ead76c56,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,83,100083,5133f7dca46174129e1c15c2c9351e8fa39be320a966c5759ea54ea3741ca765,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,84,100084,42e41fb5fb0b5a19512e5bfedf234844b639ad1c38ff86cf19080753dc042b8e,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,85,100085,bcaa679af4183e627620a46a978da6d405f08e4d5e8f143957bf3becb8410d2b,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,86,100086,5387202ee644ebbc619bfcf26ea757d4a96ef99754520748e42ad40afe1768fe,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,87,100087,3e1cab575e90e0983be6974978c5bcdbe157f2494343fbdd398e6e8618e67b09,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,88,100088,4803a78fc0838dbe48e7dd93c4c4808f0a5b0e967ee92c92bb098d40c27e1178,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,89,100089,8068bb70a9d9730e8339865ef2367543d1120397d71ed818c2c75fa512a33c66,True,10,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,90,100090,6ffe3ab57c25d7d718c7e6321bc54644b73cf6dcd46d4d74c92bd07919bb6661,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,91,100091,b8c6e739b03605068ed9195e0d71dc0e2da48bb63da1b9ddc86c115e5a48a1d5,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,92,100092,3171a6eacc17d81c1d96879eff00432dc27ea06c0756df45e7700c25489346e9,True,30,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,93,100093,b82c00d0f9688ba7b190d23907be30f29731d32f8bc9250d7a6ef39bd6e04c6a,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,94,100094,af6a71005a43619614333dacf535f7ebad4a59e28c68612c8454b41235560136,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,95,100095,676b7806adae9a1b1bc966c2a6baa64f7093fccfc997b9f16c3ffaca1bf925ce,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,96,100096,bf76dc3293ddf969ddfa85cbc11e1ac0e46dd1b21fa496c2f254b28804454233,True,4,500,True,0
